,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,Wind,Time_Index
1/6/2020 18:00,29.252335,5956.772209,569.078846,15716.14952,59.159302,5095.805767,-0.182004,277.570588,11671.56247,138
1/6/2020 19:00,30.685995,7703.434882,615.452169,17371.23562,58.553644,5094.898655,5.88721,2.21809,10067.74966,139
1/6/2020 20:00,30.735239,8098.316174,629.101879,17503.26179,58.722287,5095.737236,8.727295,0.0035,9230.981871,140
1/6/2020 21:00,30.770593,9345.07186,683.985541,17342.86781,58.935277,5096.148977,0.421738,0.0035,7340.146556,141
1/6/2020 22:00,30.792527,10291.89319,685.661629,17385.40592,58.80362,5095.245401,-3.202337,0.007,5157.180336,142
1/6/2020 23:00,30.840214,9863.812813,693.750426,17348.99894,56.385922,5095.345222,-2.400529,0.0035,3624.716431,143
1/6/2020 0:00,30.89583,8762.715813,708.758249,17268.60512,55.457195,5095.273927,-0.570494,0.0035,2890.468576,144
1/7/2020 1:00,30.943516,7776.572776,699.142818,17252.93274,41.841548,5094.760797,-1.468767,0.0035,3065.110147,145
1/7/2020 2:00,30.971134,7047.663069,674.248689,17095.12376,18.238245,5095.315632,-1.619243,0.0035,3587.694133,146
1/7/2020 3:00,31.002759,6369.143496,652.096097,17116.50065,17.948984,5094.766559,-1.435802,0.0035,4399.650137,147
1/7/2020 4:00,31.037543,6044.450157,665.810988,17220.69582,17.971712,5095.635992,-1.468849,0.0035,5119.652198,148
1/7/2020 5:00,31.045423,6605.769589,762.697479,17674.29767,21.537372,5096.221471,-0.997107,0.007,5559.776366,149
1/7/2020 6:00,31.017922,7652.919918,808.697746,19004.51087,59.417763,5096.426509,-3.123349,0.0035,6211.667901,150
1/7/2020 7:00,31.003526,8815.005396,1010.71049,20902.00593,85.792249,5095.577961,-1.400904,0.0035,7060.050633,151
1/7/2020 8:00,31.202423,9964.342478,907.958272,20962.2865,85.696223,5095.320951,-1.825158,5.125515,7851.010312,152
1/7/2020 9:00,30.743642,9298.495881,776.603525,20016.03637,84.220079,5095.276842,1.33611,552.714221,8224.103639,153
1/7/2020 10:00,28.99173,7832.765457,626.728511,19587.56249,82.949618,5094.832513,-0.767723,1800.452736,7715.947398,154
1/7/2020 11:00,27.79681,6893.596092,602.727511,18956.78186,127.912592,5093.754445,-13.358814,1986.072078,7653.278765,155
1/7/2020 12:00,29.272905,6048.87378,587.294274,17335.41435,110.937682,5094.130425,-11.898597,1962.027052,8968.68446,156
1/7/2020 13:00,30.492303,5322.744594,582.676687,15451.943,135.725289,5093.371316,-5.993141,1922.660641,10516.52558,157
1/7/2020 14:00,30.198863,5033.312341,578.846979,14988.3028,110.760071,5093.821982,-12.426177,1945.732276,10595.31596,158
1/7/2020 15:00,31.224737,4725.206615,580.727627,14833.71446,76.878323,5093.730641,-4.060102,2021.330536,10513.67003,159
1/7/2020 16:00,31.310759,4712.811872,540.007203,15063.47711,58.305692,5093.990952,4.286508,2016.498142,10041.12961,160
1/7/2020 17:00,32.58924,5119.212329,486.231383,15842.75862,57.98402,5094.111708,11.111826,1601.487981,9426.411717,161
1/7/2020 18:00,32.446201,6939.16824,514.629478,17304.37834,57.84741,5092.567944,14.977345,323.816208,8423.916994,162
1/7/2020 19:00,30.743284,7235.817735,526.601865,17749.4673,56.253215,5092.476393,7.7275,0.026601,10476.29221,163
1/7/2020 20:00,30.182209,5838.199354,541.250561,17159.05738,56.351957,5093.159349,0.033225,0.0035,12977.77444,164
1/7/2020 21:00,32.769169,5283.744389,481.338875,16046.53932,56.440164,5093.205349,-0.961098,0.0035,14989.11141,165
1/7/2020 22:00,33.66421,5071.535365,481.583002,14198.41265,56.609723,5092.59279,-1.081651,0.007,16440.26587,166
1/7/2020 23:00,33.894115,5064.420706,482.086585,12091.3092,56.789122,5093.980529,2.852782,0.0035,17011.9289,167
1/7/2020 0:00,32.865116,5563.37296,499.337798,10383.05216,55.99444,5094.06517,1.756504,0.0035,16564.47174,168
1/8/2020 1:00,33.247624,5876.571151,509.669831,9154.817252,14.996039,5094.308721,2.902061,0.0035,16504.72958,169
1/8/2020 2:00,33.367454,5816.743135,515.075102,8867.217846,14.435166,5094.023763,-0.705069,0.0035,16682.26327,170
1/8/2020 3:00,32.590966,5550.936246,521.028575,9444.918863,14.427565,5092.216525,-3.061038,0.0035,16705.8655,171
1/8/2020 4:00,32.605552,5682.747751,509.917767,10296.27279,17.986708,5094.099766,-2.78927,0.0035,16397.13686,172
1/8/2020 5:00,33.46764,6444.369061,534.17524,11689.38048,55.537671,5094.47904,-1.658806,0.007,15739.26424,173
