Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_5,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,conventional_steam_coal_6,conventional_steam_coal_4,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery,Total
t30,62.1,11.7936,0,0,0,3168,0,0,84.76,0,0,2122.308,0,0,1885.572,0,528.4523455,5249.109711,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.07343,1899.738348,14246.53694,0,0.003496125,0,34930.76202
t31,62.1,11.7936,0,0,0,3168,0,0,84.76,0,0,2372.423565,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.009427,1899.675869,14123.2182,0,0.003496125,0,37058.72265
t32,62.1,11.7468,0,0,0,3168,0,0,84.76,0,0,4154.431064,0,0,1885.572,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.13643,1899.799848,13920.43717,0,1.681458988,0,38639.83127
t33,62.1,11.7,0,0,0,3168,0,0,456.4,0,0,4179.6,0,0,2188.281422,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.968978,1899.636384,13324.94893,0,361.6705326,0,39103.47274
t34,62.1,11.7,0,0,0,3168,0,0,586.8,0,0,4179.6,0,0,3107.108485,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.154716,1898.841508,11950.11221,0,1101.089065,0,39515.67248
t35,62.1,11.6532,0,0,0,3168,0,0,586.8,0,0,4179.6,0,0,3484.035447,0,528.4523455,7250.4,0,0,0,0,3321.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.21904,1899.880492,11720.67965,0,1285.047732,0,39849.18206
t36,62.1,11.6064,0,0,0,3168,0,0,586.8,0,0,4179.6,0,0,3626.1,0,528.4523455,7250.4,0,0,0,0,3768.91089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.333978,1899.992692,11230.55599,0,1176.929777,0,39840.53222
t37,62.1,11.6064,0,0,0,3168,0,0,586.8,0,0,4179.6,0,0,3626.1,0,528.4523455,7250.4,0,0,0,0,5197.406771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1946.668669,1900.319415,9829.660656,0,866.6057229,0,39558.47013
t38,62.1,11.5596,0,0,0,3168,0,0,586.8,0,0,4179.6,0,0,3626.1,0,528.4523455,7250.4,0,0,0,0,5628.689108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.970735,1899.638098,9278.909812,0,737.3666703,0,39308.33652
t39,62.1,11.5128,0,0,0,3168,0,0,586.8,0,0,4179.6,0,0,3626.1,0,528.4523455,7250.4,0,0,0,0,4224.9184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7961506,0,0,36.627,0,0,0,156.327,0,0,0,0,1945.871797,1899.541516,10348.89009,0,659.5438414,0,38896.48094
