Delivery Date,Hour Ending,Price,Time_Index,Date,Year
11/14/2018,09:00,81.08,7617,2018-11-14 08:00:00,2018
08/25/2018,16:00,81.02,5679,2018-08-25 14:00:00,2018
07/28/2018,18:00,80.73,5009,2018-07-28 16:00:00,2018
08/15/2018,17:00,80.73,5440,2018-08-15 15:00:00,2018
05/28/2018,16:00,80.6,3543,2018-05-28 14:00:00,2018
06/22/2018,17:00,80.29,4144,2018-06-22 15:00:00,2018
01/17/2018,20:00,79.66,404,2018-01-17 19:00:00,2018
08/18/2018,16:00,79.45,5511,2018-08-18 14:00:00,2018
08/30/2018,17:00,79.25,5800,2018-08-30 15:00:00,2018
07/15/2018,16:00,79.14,4695,2018-07-15 14:00:00,2018
06/06/2018,17:00,78.0,3760,2018-06-06 15:00:00,2018
08/21/2018,18:00,77.98,5585,2018-08-21 16:00:00,2018
09/18/2018,16:00,77.78,6255,2018-09-18 14:00:00,2018
09/18/2018,17:00,77.76,6256,2018-09-18 15:00:00,2018
07/30/2018,16:00,77.74,5055,2018-07-30 14:00:00,2018
01/02/2018,20:00,77.39,44,2018-01-02 19:00:00,2018
07/22/2018,14:00,77.33,4861,2018-07-22 12:00:00,2018
01/04/2018,08:00,77.0,80,2018-01-04 07:00:00,2018
08/23/2018,16:00,76.75,5631,2018-08-23 14:00:00,2018
08/24/2018,16:00,76.53,5655,2018-08-24 14:00:00,2018
08/01/2018,18:00,76.5,5105,2018-08-01 16:00:00,2018
11/13/2018,19:00,76.32,7603,2018-11-13 18:00:00,2018
08/17/2018,18:00,75.62,5489,2018-08-17 16:00:00,2018
01/16/2018,22:00,75.26,382,2018-01-16 21:00:00,2018
07/24/2018,19:00,75.26,4914,2018-07-24 17:00:00,2018
08/07/2018,17:00,75.1,5248,2018-08-07 15:00:00,2018
09/16/2018,17:00,74.98,6208,2018-09-16 15:00:00,2018
07/01/2018,17:00,74.93,4360,2018-07-01 15:00:00,2018
07/28/2018,15:00,74.76,5006,2018-07-28 13:00:00,2018
05/25/2018,14:00,74.44,3469,2018-05-25 12:00:00,2018
07/03/2018,15:00,74.39,4406,2018-07-03 13:00:00,2018
08/16/2018,16:00,74.27,5463,2018-08-16 14:00:00,2018
07/16/2018,18:00,74.23,4721,2018-07-16 16:00:00,2018
07/26/2018,14:00,74.22,4957,2018-07-26 12:00:00,2018
05/24/2018,15:00,73.66,3446,2018-05-24 13:00:00,2018
01/17/2018,12:00,73.62,396,2018-01-17 11:00:00,2018
11/06/2018,19:00,73.51,7435,2018-11-06 18:00:00,2018
02/12/2018,07:00,73.49,1015,2018-02-12 06:00:00,2018
08/22/2018,15:00,73.49,5606,2018-08-22 13:00:00,2018
12/10/2018,08:00,73.34,8240,2018-12-10 07:00:00,2018
07/24/2018,14:00,73.17,4909,2018-07-24 12:00:00,2018
05/15/2018,15:00,73.13,3230,2018-05-15 13:00:00,2018
05/22/2018,17:00,72.74,3400,2018-05-22 15:00:00,2018
01/17/2018,04:00,72.67,388,2018-01-17 03:00:00,2018
08/26/2018,17:00,72.58,5704,2018-08-26 15:00:00,2018
08/02/2018,16:00,72.31,5127,2018-08-02 14:00:00,2018
01/18/2018,11:00,72.27,419,2018-01-18 10:00:00,2018
07/17/2018,19:00,72.22,4746,2018-07-17 17:00:00,2018
08/02/2018,18:00,72.21,5129,2018-08-02 16:00:00,2018
08/19/2018,17:00,72.13,5536,2018-08-19 15:00:00,2018
08/20/2018,15:00,71.89,5558,2018-08-20 13:00:00,2018
08/18/2018,17:00,71.42,5512,2018-08-18 15:00:00,2018
11/06/2018,17:00,71.1,7433,2018-11-06 16:00:00,2018
08/03/2018,17:00,71.08,5152,2018-08-03 15:00:00,2018
11/15/2018,08:00,71.0,7640,2018-11-15 07:00:00,2018
09/18/2018,15:00,70.93,6254,2018-09-18 13:00:00,2018
06/05/2018,15:00,70.8,3734,2018-06-05 13:00:00,2018
08/29/2018,15:00,70.56,5774,2018-08-29 13:00:00,2018
01/02/2018,21:00,70.53,45,2018-01-02 20:00:00,2018
12/04/2018,07:00,70.53,8095,2018-12-04 06:00:00,2018
05/23/2018,16:00,70.3,3423,2018-05-23 14:00:00,2018
06/02/2018,16:00,70.13,3663,2018-06-02 14:00:00,2018
10/08/2018,17:00,70.06,6736,2018-10-08 15:00:00,2018
05/16/2018,19:00,70.04,3258,2018-05-16 17:00:00,2018
03/07/2018,07:00,69.97,1567,2018-03-07 06:00:00,2018
07/27/2018,14:00,69.96,4981,2018-07-27 12:00:00,2018
07/15/2018,18:00,69.96,4697,2018-07-15 16:00:00,2018
01/16/2018,08:00,69.87,368,2018-01-16 07:00:00,2018
05/07/2018,16:00,69.69,3039,2018-05-07 14:00:00,2018
07/29/2018,15:00,69.63,5030,2018-07-29 13:00:00,2018
06/02/2018,17:00,69.58,3664,2018-06-02 15:00:00,2018
