Day,2012Pearson daily,2013Pearson daily,2014Pearson daily,2015Pearson daily,2016Pearson daily,2017Pearson daily,2018Pearson daily,2019Pearson daily,2020Pearson daily,2021Pearson daily
47,,,,0.7715968540090841,,,,,,
47,,,,,0.7676882642859475,,,,,
47,,,,,,0.5094700829270828,,,,
47,,,,,,,0.6200799482849716,,,
47,,,,,,,,0.3770326467124001,,
47,,,,,,,,,0.7213773722705571,
47,,,,,,,,,,-0.37540407225771794
48,0.5717492568931327,,,,,,,,,
48,,0.786240134685412,,,,,,,,
48,,,0.5265978359444072,,,,,,,
48,,,,0.5732322106237,,,,,,
48,,,,,0.9110765628795723,,,,,
48,,,,,,0.7397049253162259,,,,
48,,,,,,,0.3066945156763613,,,
48,,,,,,,,0.647209678546909,,
48,,,,,,,,,0.6821431973285452,
48,,,,,,,,,,0.23571161318052228
49,0.732916007567306,,,,,,,,,
49,,0.5902769485532369,,,,,,,,
49,,,0.9334732063500477,,,,,,,
49,,,,0.8028390907703525,,,,,,
49,,,,,0.6323514515822019,,,,,
49,,,,,,0.43580267273124224,,,,
49,,,,,,,0.8898976557972844,,,
49,,,,,,,,0.4278571511164643,,
49,,,,,,,,,0.42633879182919276,
49,,,,,,,,,,-0.16118989575675313
50,0.8464350244254244,,,,,,,,,
50,,0.7178508137259352,,,,,,,,
50,,,0.6302633786373595,,,,,,,
50,,,,0.6219720693514685,,,,,,
50,,,,,0.7535964109715858,,,,,
50,,,,,,0.5027836531240091,,,,
50,,,,,,,0.7648096537014623,,,
50,,,,,,,,0.6838310233275803,,
50,,,,,,,,,0.6172136213032247,
50,,,,,,,,,,-0.21269465828545592
51,0.61976085118468,,,,,,,,,
51,,0.7572856517976478,,,,,,,,
51,,,0.7601591401080854,,,,,,,
51,,,,0.3824297483439254,,,,,,
51,,,,,0.6654350415307764,,,,,
51,,,,,,0.3030837501683725,,,,
51,,,,,,,0.7776793939562061,,,
51,,,,,,,,0.578327456906321,,
51,,,,,,,,,0.3933933639097744,
51,,,,,,,,,,0.6512895515968228
52,0.6596969702502631,,,,,,,,,
52,,0.43312247421538336,,,,,,,,
52,,,0.5406122772109545,,,,,,,
52,,,,0.503747684832182,,,,,,
52,,,,,0.6261742469686006,,,,,
52,,,,,,0.5271132919175446,,,,
52,,,,,,,0.20854014415813227,,,
52,,,,,,,,0.5407920403331878,,
52,,,,,,,,,0.860627486617437,
52,,,,,,,,,,0.7402300646343866
53,0.800070327196243,,,,,,,,,
53,,0.7832338099613576,,,,,,,,
53,,,0.6661440023626979,,,,,,,
53,,,,0.4684750371023226,,,,,,
53,,,,,0.48718654525266736,,,,,
53,,,,,,0.7976095112539371,,,,
53,,,,,,,0.6004689667784483,,,
53,,,,,,,,0.6820734691497576,,
53,,,,,,,,,0.5831608800315519,
53,,,,,,,,,,0.8534668968605266
54,0.48334548961131396,,,,,,,,,
54,,0.4060064519213975,,,,,,,,
54,,,0.7505926982218333,,,,,,,
54,,,,0.7086174971471415,,,,,,
54,,,,,0.7188731604171329,,,,,
54,,,,,,0.44341926435824075,,,,
54,,,,,,,0.4484475407289881,,,
54,,,,,,,,0.7514874918083034,,
54,,,,,,,,,0.6387814945332679,
54,,,,,,,,,,0.8164445965255424
55,0.8830360775508003,,,,,,,,,
55,,0.45427769393002765,,,,,,,,
55,,,0.6103774133626809,,,,,,,
55,,,,0.7678483450968772,,,,,,
55,,,,,0.8479469397739053,,,,,
55,,,,,,0.9081769345155144,,,,
55,,,,,,,0.5271208402506053,,,
55,,,,,,,,0.42557634428063645,,
55,,,,,,,,,0.5899976388517123,
55,,,,,,,,,,0.3641734126171359
56,0.5121350761508658,,,,,,,,,
56,,0.34737417006714916,,,,,,,,
56,,,0.5448324869712269,,,,,,,
56,,,,0.632270042389685,,,,,,
56,,,,,0.3915773436356708,,,,,
56,,,,,,0.7090465107104278,,,,
56,,,,,,,0.6956401041857987,,,
56,,,,,,,,0.7282167419214793,,
56,,,,,,,,,0.5342377367232454,
56,,,,,,,,,,0.6677970156966033
57,0.7878665152403113,,,,,,,,,
57,,0.7428344880054265,,,,,,,,
57,,,0.6339865965372018,,,,,,,
57,,,,0.5351260961097528,,,,,,
57,,,,,0.6237785854619682,,,,,
57,,,,,,0.8663590365911404,,,,
57,,,,,,,0.7832172765087683,,,
57,,,,,,,,0.5092258227817185,,
57,,,,,,,,,0.8721335331465939,
57,,,,,,,,,,0.47389696383237206
58,0.7925515800430012,,,,,,,,,
58,,0.5907942228780859,,,,,,,,
58,,,0.7280539614937965,,,,,,,
58,,,,0.8396548901387434,,,,,,
58,,,,,0.7808312729697422,,,,,
58,,,,,,0.6867666952537967,,,,
58,,,,,,,0.683144977483713,,,
58,,,,,,,,0.410362874854098,,
58,,,,,,,,,0.4277491975699747,
58,,,,,,,,,,0.7803761882244635
59,0.8821555782195876,,,,,,,,,
59,,0.4584958195566044,,,,,,,,
59,,,0.864054397031824,,,,,,,
59,,,,0.6782410325825237,,,,,,
59,,,,,0.5614254067011157,,,,,
59,,,,,,0.34480444174973934,,,,
59,,,,,,,0.9595382301704893,,,
59,,,,,,,,0.6256405131556015,,
59,,,,,,,,,0.6130646886289453,
59,,,,,,,,,,0.596002409896578
60,0.3992295339612209,,,,,,,,,
60,,0.6394084263282033,,,,,,,,
60,,,0.7396570757582699,,,,,,,
60,,,,0.5958839765414603,,,,,,
60,,,,,0.6557004360769223,,,,,
60,,,,,,0.3341781445933686,,,,
60,,,,,,,0.9186791081572059,,,
60,,,,,,,,0.7465024127714142,,
60,,,,,,,,,0.18740431731703533,
60,,,,,,,,,,0.8308160327708081
61,0.6143050625629761,,,,,,,,,
61,,0.6261841458253231,,,,,,,,
61,,,0.7983700353210523,,,,,,,
61,,,,0.46329281049444854,,,,,,
61,,,,,0.2944463103314827,,,,,
61,,,,,,0.577381540677667,,,,
61,,,,,,,0.6246163803442385,,,
61,,,,,,,,0.5661358416531357,,
61,,,,,,,,,0.7600855000004889,
61,,,,,,,,,,0.7719521674975864
62,0.7597634619209561,,,,,,,,,
62,,0.7003961948067916,,,,,,,,
62,,,0.4263246017616857,,,,,,,
62,,,,0.5860100302924776,,,,,,
62,,,,,0.4842434367155397,,,,,
62,,,,,,0.7526986726656031,,,,
62,,,,,,,0.7013035979890733,,,
62,,,,,,,,0.726599846833704,,
62,,,,,,,,,0.5252712314942718,
62,,,,,,,,,,0.7741850104063827
63,0.7847759819411024,,,,,,,,,
63,,0.749611745076727,,,,,,,,
63,,,0.40907245917088025,,,,,,,
63,,,,0.11879633861310582,,,,,,
63,,,,,0.7829743709512935,,,,,
63,,,,,,0.8676579713423529,,,,
63,,,,,,,0.5110555253091169,,,
63,,,,,,,,0.4513296125571742,,
63,,,,,,,,,0.5133764761727723,
63,,,,,,,,,,0.28696859409303455
64,0.6895189968374863,,,,,,,,,
64,,0.8119266667088865,,,,,,,,
64,,,0.3916944080898863,,,,,,,
64,,,,0.809295122579563,,,,,,
64,,,,,0.7750727076319677,,,,,
64,,,,,,0.5882541161391375,,,,
64,,,,,,,0.3891902921709672,,,
64,,,,,,,,0.9651199855671355,,
64,,,,,,,,,0.9106485855379756,
64,,,,,,,,,,0.6541942983518069
65,0.7611688295778036,,,,,,,,,
65,,0.7012136305146299,,,,,,,,
65,,,0.08292001016891004,,,,,,,
65,,,,0.9518207878393449,,,,,,
65,,,,,0.8692023297346548,,,,,
65,,,,,,0.5382365300459551,,,,
65,,,,,,,0.5414346515454188,,,
65,,,,,,,,0.49674214812708634,,
65,,,,,,,,,0.6672174441564879,
65,,,,,,,,,,0.6691407884727855
66,0.670965070278436,,,,,,,,,
66,,0.44891049797386784,,,,,,,,
66,,,0.465999978505928,,,,,,,
66,,,,0.6335604383184439,,,,,,
66,,,,,0.28579986216148745,,,,,
66,,,,,,0.9294833333283185,,,,
66,,,,,,,0.2601734297047009,,,
66,,,,,,,,0.7513268950202323,,
66,,,,,,,,,0.783694001517618,
66,,,,,,,,,,0.6723122633712683
67,0.5738645377343172,,,,,,,,,
67,,0.6074423587404278,,,,,,,,
67,,,0.3215377141950981,,,,,,,
67,,,,0.2075846625467277,,,,,,
67,,,,,0.6752641162751709,,,,,
67,,,,,,0.7225527387632316,,,,
