Day,2012Spearman daily,2013Spearman daily,2014Spearman daily,2015Spearman daily,2016Spearman daily,2017Spearman daily,2018Spearman daily,2019Spearman daily,2020Spearman daily,2021Spearman daily
33,,,,,,,,0.8674665936574788,,
33,,,,,,,,,0.6676450567492348,
33,,,,,,,,,,0.8160615918784134
34,0.8123058000529814,,,,,,,,,
34,,0.6658197820757473,,,,,,,,
34,,,0.6530632434203181,,,,,,,
34,,,,0.8113775526584641,,,,,,
34,,,,,0.9017202835565508,,,,,
34,,,,,,0.919589478073854,,,,
34,,,,,,,0.5638355715688488,,,
34,,,,,,,,0.9188630559935951,,
34,,,,,,,,,0.7847769206708624,
34,,,,,,,,,,0.9043955820672048
35,0.7480608463972455,,,,,,,,,
35,,0.7280829094737716,,,,,,,,
35,,,0.627671435212234,,,,,,,
35,,,,0.8182739333585209,,,,,,
35,,,,,0.7655309722175826,,,,,
35,,,,,,0.9221496252795464,,,,
35,,,,,,,0.8809817833015038,,,
35,,,,,,,,0.8949759547247441,,
35,,,,,,,,,0.7152913778029809,
35,,,,,,,,,,0.582219513465494
36,0.9231847752087902,,,,,,,,,
36,,0.7855856986304649,,,,,,,,
36,,,0.8489065840398833,,,,,,,
36,,,,0.8807008363361253,,,,,,
36,,,,,0.8168113947419638,,,,,
36,,,,,,0.8718043068808905,,,,
36,,,,,,,0.6340096970117158,,,
36,,,,,,,,0.8077915490476575,,
36,,,,,,,,,0.8677057998828761,
36,,,,,,,,,,0.8685598052326048
37,0.8343584537412384,,,,,,,,,
37,,0.7139617550142093,,,,,,,,
37,,,0.8621804380099256,,,,,,,
37,,,,0.9193570532194484,,,,,,
37,,,,,0.7662579772279827,,,,,
37,,,,,,0.9515805019064656,,,,
37,,,,,,,0.8376666607266177,,,
37,,,,,,,,0.8728830751087527,,
37,,,,,,,,,0.8385265875575046,
37,,,,,,,,,,0.7235339123576273
38,0.8772705513658341,,,,,,,,,
38,,0.8696947577929488,,,,,,,,
38,,,0.8091435836258142,,,,,,,
38,,,,0.8977965993273245,,,,,,
38,,,,,0.8360930368708047,,,,,
38,,,,,,0.786888064074565,,,,
38,,,,,,,0.761702917885498,,,
38,,,,,,,,0.836575687750145,,
38,,,,,,,,,0.767278576332335,
38,,,,,,,,,,0.7814311185991154
39,0.8570473029632176,,,,,,,,,
39,,0.8447925585108943,,,,,,,,
39,,,0.7723725065056382,,,,,,,
39,,,,0.8259649386794898,,,,,,
39,,,,,0.8798745872706599,,,,,
39,,,,,,0.9422012110681565,,,,
39,,,,,,,0.8765951610645403,,,
39,,,,,,,,0.7698475596958225,,
39,,,,,,,,,0.9471034960373228,
39,,,,,,,,,,0.8711688980701758
40,0.9233999488588882,,,,,,,,,
40,,0.8855129452130732,,,,,,,,
40,,,0.4519061495610671,,,,,,,
40,,,,0.8155680948881346,,,,,,
40,,,,,0.7834412613808803,,,,,
40,,,,,,0.9123667264199525,,,,
40,,,,,,,0.7999147161021676,,,
40,,,,,,,,0.8319559678429407,,
40,,,,,,,,,0.9046862393565345,
40,,,,,,,,,,0.8010566880939894
41,0.8833198852049667,,,,,,,,,
41,,0.6914783835516797,,,,,,,,
41,,,0.7068826058394878,,,,,,,
41,,,,0.35438844397557906,,,,,,
41,,,,,0.6636023250128114,,,,,
41,,,,,,0.9578944364170937,,,,
41,,,,,,,0.8613913862876426,,,
41,,,,,,,,0.5998063636914204,,
41,,,,,,,,,0.591902526397127,
41,,,,,,,,,,0.7768138504967607
42,0.7949499391078357,,,,,,,,,
42,,0.7311169156596696,,,,,,,,
42,,,0.8258358507067554,,,,,,,
42,,,,0.710188016039284,,,,,,
42,,,,,0.8728347456682763,,,,,
42,,,,,,0.9142092833784311,,,,
42,,,,,,,0.7867459250579606,,,
42,,,,,,,,0.8733707726295863,,
42,,,,,,,,,0.905489970020274,
42,,,,,,,,,,0.744438478018878
43,0.9092050866322595,,,,,,,,,
43,,0.8200684764943,,,,,,,,
43,,,0.8378195087459961,,,,,,,
43,,,,0.6861244019138756,,,,,,
43,,,,,0.9135842400703624,,,,,
43,,,,,,0.7007341672121676,,,,
43,,,,,,,0.8730184989849844,,,
43,,,,,,,,0.7982913223332153,,
43,,,,,,,,,0.6833241326350895,
43,,,,,,,,,,0.8002408680947889
44,0.870424159779629,,,,,,,,,
44,,0.8523720657520757,,,,,,,,
44,,,0.8523459022106437,,,,,,,
44,,,,0.8982856380663164,,,,,,
44,,,,,0.9119395588900469,,,,,
44,,,,,,0.8664027567585788,,,,
44,,,,,,,0.8257421828720424,,,
44,,,,,,,,0.9159963499126144,,
44,,,,,,,,,0.8413143830122823,
44,,,,,,,,,,0.5004501079618289
45,0.8685162662591088,,,,,,,,,
45,,0.6949523661852821,,,,,,,,
45,,,0.7835509336184645,,,,,,,
45,,,,0.8870866667087248,,,,,,
45,,,,,0.8181353552445179,,,,,
45,,,,,,0.8492394882321993,,,,
45,,,,,,,0.7793918760126605,,,
45,,,,,,,,0.8226766772417577,,
45,,,,,,,,,0.5199414360895899,
45,,,,,,,,,,-0.2954744374055516
46,0.8016143960765685,,,,,,,,,
46,,0.8332800356962716,,,,,,,,
46,,,0.8618878435252878,,,,,,,
46,,,,0.6062030174374579,,,,,,
46,,,,,0.8384941331231304,,,,,
46,,,,,,0.9425551720606765,,,,
46,,,,,,,0.9277893935044613,,,
46,,,,,,,,0.7999032569645218,,
46,,,,,,,,,0.667794344359353,
46,,,,,,,,,,0.3738905287684119
47,0.9374077821780453,,,,,,,,,
47,,0.7559481361842358,,,,,,,,
47,,,0.8308096796789038,,,,,,,
47,,,,0.4194003878404334,,,,,,
47,,,,,0.8119141919441795,,,,,
47,,,,,,0.7182166700418074,,,,
47,,,,,,,0.7355168316126341,,,
47,,,,,,,,0.8162472093355926,,
47,,,,,,,,,0.8530388923597303,
47,,,,,,,,,,-0.490126919939093
48,0.7894917415094411,,,,,,,,,
48,,0.8372765414521598,,,,,,,,
48,,,0.7893200942106391,,,,,,,
48,,,,0.8725345269066367,,,,,,
48,,,,,0.8383831301982575,,,,,
48,,,,,,0.9208396659826454,,,,
48,,,,,,,0.5009994532480798,,,
48,,,,,,,,0.7596877136058983,,
48,,,,,,,,,0.8704879753489051,
48,,,,,,,,,,-0.030514489727144316
49,0.6538044901242831,,,,,,,,,
49,,0.8474900960863804,,,,,,,,
49,,,0.9769361277135804,,,,,,,
49,,,,0.8969455742169319,,,,,,
49,,,,,0.9635392878600548,,,,,
49,,,,,,0.806991290495815,,,,
49,,,,,,,0.8818390864923428,,,
49,,,,,,,,0.7456923153126405,,
