Zone,Price,Date,Year
t48,36.41286,2019-01-02 23:00:00,2019
t454,36.40756354310149,2019-01-19 21:00:00,2019
t453,36.40685539183063,2019-01-19 20:00:00,2019
t947,36.40313094711485,2019-02-09 10:00:00,2019
t946,36.40242288449591,2019-02-09 09:00:00,2019
t1504,36.395255,2019-03-04 15:00:00,2019
t932,36.39251149463336,2019-02-08 19:00:00,2019
t931,36.39180364440346,2019-02-08 18:00:00,2019
t1957,36.38674265027464,2019-03-23 12:00:00,2019
t5224,36.3863,2019-08-06 15:00:00,2019
t5222,36.3863,2019-08-06 13:00:00,2019
t922,36.38543362936566,2019-02-08 09:00:00,2019
t5394,36.37048429361992,2019-08-13 17:00:00,2019
t5130,36.358916,2019-08-02 17:00:00,2019
t5125,36.358916,2019-08-02 12:00:00,2019
t5871,36.33138,2019-09-02 14:00:00,2019
t6399,36.27116,2019-09-24 14:00:00,2019
t6401,36.27116,2019-09-24 16:00:00,2019
t1545,36.26896,2019-03-06 08:00:00,2019
t4309,36.26418000000001,2019-06-29 12:00:00,2019
t5031,36.25030999999999,2019-07-29 14:00:00,2019
t7579,36.221774,2019-11-12 18:00:00,2019
t6161,36.19868000000001,2019-09-14 16:00:00,2019
t5585,36.19127521755947,2019-08-21 16:00:00,2019
t5581,36.18846,2019-08-21 12:00:00,2019
t4694,36.18824,2019-07-15 13:00:00,2019
t4648,36.18824,2019-07-13 15:00:00,2019
t4649,36.18824,2019-07-13 16:00:00,2019
t691,36.18178999999999,2019-01-29 18:00:00,2019
t681,36.18178999999999,2019-01-29 08:00:00,2019
t5993,36.11559,2019-09-07 16:00:00,2019
t5225,36.112368905243855,2019-08-06 16:00:00,2019
t1425,36.110353,2019-03-01 08:00:00,2019
t1424,36.110353,2019-03-01 07:00:00,2019
t5221,36.10956,2019-08-06 12:00:00,2019
t6398,36.059842,2019-09-24 13:00:00,2019
t6257,36.00429221552807,2019-09-18 16:00:00,2019
t6254,36.002192,2019-09-18 13:00:00,2019
t212,35.99673806007748,2019-01-09 19:00:00,2019
t202,35.98973934237314,2019-01-09 09:00:00,2019
t201,35.989039547586295,2019-01-09 08:00:00,2019
t200,35.988339766795335,2019-01-09 07:00:00,2019
t199,35.98764,2019-01-09 06:00:00,2019
t4650,35.98021833351529,2019-07-13 17:00:00,2019
t4647,35.97811956239126,2019-07-13 14:00:00,2019
t4646,35.97742,2019-07-13 13:00:00,2019
t6449,35.97742,2019-09-26 16:00:00,2019
t4698,35.97742,2019-07-15 17:00:00,2019
t6446,35.97742,2019-09-26 13:00:00,2019
t5897,35.977221,2019-09-03 16:00:00,2019
t5898,35.965556,2019-09-03 17:00:00,2019
t5894,35.965556,2019-09-03 13:00:00,2019
t4693,35.94186,2019-07-15 12:00:00,2019
t6593,35.9401,2019-10-02 16:00:00,2019
t213,35.900279999999995,2019-01-09 20:00:00,2019
t309,35.886514000000005,2019-01-13 20:00:00,2019
