Price,Date,Year
516.93,2019-09-26 13:00:00,2019
516.5,2019-08-07 13:00:00,2019
503.71,2019-09-25 14:00:00,2019
501.99,2014-03-03 19:00:00,2014
499.99,2021-10-21 15:00:00,2021
499.46,2019-09-05 12:00:00,2019
498.71,2013-06-28 14:00:00,2013
498.1,2021-02-13 04:00:00,2021
496.41,2021-02-13 03:00:00,2021
496.09,2021-02-13 02:00:00,2021
495.48,2012-04-26 15:00:00,2012
495.03,2014-03-03 08:00:00,2014
493.53,2014-11-14 06:00:00,2014
492.55,2014-08-08 15:00:00,2014
491.61,2021-10-21 16:00:00,2021
490.85,2012-06-26 13:00:00,2012
486.53,2019-08-12 13:00:00,2019
486.39,2014-02-06 07:00:00,2014
475.75,2021-10-21 17:00:00,2021
465.87,2019-08-22 15:00:00,2019
462.72,2021-02-13 01:00:00,2021
462.27,2015-08-10 13:00:00,2015
459.92,2012-06-25 14:00:00,2012
457.69,2020-08-13 16:00:00,2020
451.97,2015-08-13 14:00:00,2015
446.28,2018-07-18 13:00:00,2018
441.68,2021-02-13 00:00:00,2021
441.5,2021-06-16 14:00:00,2021
441.41,2014-02-06 06:00:00,2014
440.86,2014-08-08 14:00:00,2014
440.7,2019-09-06 12:00:00,2019
436.23,2019-08-12 16:00:00,2019
432.43,2019-08-22 14:00:00,2019
431.41,2019-08-15 16:00:00,2019
427.05,2021-07-27 15:00:00,2021
424.03,2013-08-07 15:00:00,2013
424.0,2019-10-03 14:00:00,2019
422.99,2019-09-05 17:00:00,2019
421.62,2021-07-26 15:00:00,2021
419.3,2019-08-21 12:00:00,2019
416.55,2019-08-11 15:00:00,2019
416.16,2019-08-07 16:00:00,2019
405.07,2019-08-06 14:00:00,2019
402.01,2019-08-17 14:00:00,2019
399.98,2018-05-16 16:00:00,2018
399.78,2021-10-20 17:00:00,2021
399.0,2019-08-19 16:00:00,2019
398.89,2019-08-11 14:00:00,2019
398.03,2019-10-05 15:00:00,2019
396.29,2018-07-24 14:00:00,2018
393.38,2019-09-03 14:00:00,2019
386.19,2014-02-06 18:00:00,2014
383.08,2019-08-06 15:00:00,2019
381.2,2018-07-20 16:00:00,2018
380.38,2014-02-06 19:00:00,2014
375.86,2012-06-25 16:00:00,2012
372.51,2013-06-28 16:00:00,2013
372.0,2012-08-02 16:00:00,2012
369.49,2014-03-03 18:00:00,2014
368.25,2018-07-22 13:00:00,2018
367.23,2014-11-14 07:00:00,2014
365.54,2021-10-21 14:00:00,2021
364.41,2021-07-26 14:00:00,2021
363.68,2018-07-19 13:00:00,2018
359.94,2018-07-25 16:00:00,2018
358.06,2021-07-27 14:00:00,2021
357.13,2019-10-02 16:00:00,2019
357.05,2018-05-16 14:00:00,2018
355.02,2021-06-16 13:00:00,2021
349.38,2019-09-24 15:00:00,2019
346.57,2012-06-27 15:00:00,2012
342.92,2019-09-24 14:00:00,2019
337.57,2020-08-15 16:00:00,2020
333.61,2015-08-06 15:00:00,2015
332.7,2014-02-12 06:00:00,2014
330.09,2021-06-15 12:00:00,2021
328.75,2014-03-04 09:00:00,2014
326.36,2021-06-16 15:00:00,2021
316.22,2019-10-05 14:00:00,2019
314.59,2019-08-10 15:00:00,2019
313.33,2019-09-06 17:00:00,2019
312.01,2018-07-26 16:00:00,2018
311.5,2018-07-26 14:00:00,2018
307.54,2014-10-07 15:00:00,2014
305.66,2012-04-26 14:00:00,2012
305.38,2021-10-20 16:00:00,2021
303.2,2015-03-05 19:00:00,2015
301.88,2012-04-27 14:00:00,2012
301.61,2019-08-09 15:00:00,2019
299.92,2019-08-14 12:00:00,2019
299.86,2019-08-07 12:00:00,2019
299.2,2019-08-02 15:00:00,2019
297.95,2019-08-09 14:00:00,2019
297.67,2013-08-06 15:00:00,2013
297.5,2021-10-20 15:00:00,2021
295.8,2021-02-20 05:00:00,2021
295.04,2019-08-06 13:00:00,2019
293.75,2021-06-15 17:00:00,2021
293.09,2020-08-13 13:00:00,2020
292.18,2019-08-02 14:00:00,2019
291.99,2015-08-12 15:00:00,2015
291.55,2021-08-31 14:00:00,2021
291.38,2018-01-17 05:00:00,2018
290.0,2012-08-02 13:00:00,2012
289.53,2019-08-10 14:00:00,2019
286.06,2020-04-08 15:00:00,2020
285.63,2021-08-31 15:00:00,2021
283.75,2015-08-09 15:00:00,2015
280.26,2021-07-26 16:00:00,2021
277.23,2021-10-20 18:00:00,2021
275.28,2019-08-20 12:00:00,2019
274.89,2021-02-12 07:00:00,2021
274.77,2016-10-18 15:00:00,2016
274.56,2019-07-09 15:00:00,2019
271.46,2014-02-07 06:00:00,2014
270.57,2020-08-29 15:00:00,2020
270.41,2018-01-18 06:00:00,2018
270.0,2021-07-27 16:00:00,2021
268.07,2019-08-15 12:00:00,2019
266.83,2021-02-12 18:00:00,2021
266.76,2021-07-26 13:00:00,2021
266.31,2018-01-18 07:00:00,2018
265.5,2015-08-12 14:00:00,2015
263.91,2012-09-05 15:00:00,2012
262.76,2021-10-21 18:00:00,2021
261.63,2021-02-12 09:00:00,2021
258.89,2012-07-31 15:00:00,2012
258.69,2020-06-08 14:00:00,2020
257.04,2017-07-28 14:00:00,2017
256.2,2020-06-08 15:00:00,2020
255.78,2019-08-12 12:00:00,2019
255.02,2012-07-31 14:00:00,2012
254.76,2015-08-06 14:00:00,2015
254.46,2019-08-11 13:00:00,2019
253.5,2012-08-01 16:00:00,2012
253.44,2021-10-20 14:00:00,2021
251.97,2012-09-07 15:00:00,2012
251.63,2018-07-22 17:00:00,2018
251.06,2012-09-04 15:00:00,2012
250.22,2019-09-03 13:00:00,2019
250.0,2020-08-29 14:00:00,2020
250.0,2020-04-08 16:00:00,2020
250.0,2020-04-08 14:00:00,2020
249.35,2014-03-03 20:00:00,2014
249.0,2019-09-26 12:00:00,2019
248.98,2020-08-15 13:00:00,2020
248.91,2012-07-30 14:00:00,2012
248.82,2012-07-30 15:00:00,2012
248.49,2018-07-17 13:00:00,2018
248.13,2012-04-27 16:00:00,2012
247.85,2014-08-08 16:00:00,2014
247.29,2019-10-05 16:00:00,2019
246.85,2019-09-25 13:00:00,2019
244.82,2014-02-06 09:00:00,2014
244.34,2014-03-03 09:00:00,2014
242.49,2021-02-12 08:00:00,2021
241.79,2014-10-07 14:00:00,2014
241.41,2020-08-16 15:00:00,2020
240.84,2015-08-10 17:00:00,2015
239.64,2018-05-25 15:00:00,2018
239.17,2018-05-26 15:00:00,2018
238.95,2015-08-11 16:00:00,2015
238.12,2021-06-14 15:00:00,2021
237.37,2012-08-01 13:00:00,2012
237.28,2014-02-06 20:00:00,2014
237.16,2014-02-06 08:00:00,2014
236.58,2019-08-27 15:00:00,2019
236.23,2021-07-27 13:00:00,2021
235.22,2014-03-04 10:00:00,2014
233.5,2014-10-07 16:00:00,2014
232.22,2019-09-04 13:00:00,2019
230.97,2015-08-07 16:00:00,2015
230.02,2016-08-04 14:00:00,2016
227.91,2012-07-30 13:00:00,2012
227.23,2019-10-10 15:00:00,2019
226.66,2014-03-04 05:00:00,2014
226.25,2021-07-29 15:00:00,2021
224.61,2012-06-27 14:00:00,2012
223.78,2014-03-05 06:00:00,2014
223.5,2019-10-10 14:00:00,2019
220.6,2021-04-08 15:00:00,2021
220.0,2019-08-06 16:00:00,2019
219.95,2021-04-18 19:00:00,2021
219.52,2021-10-21 13:00:00,2021
219.32,2016-08-12 14:00:00,2016
219.14,2019-09-03 16:00:00,2019
218.36,2014-01-29 06:00:00,2014
218.26,2021-07-30 15:00:00,2021
217.55,2019-03-05 08:00:00,2019
216.37,2019-07-09 14:00:00,2019
215.59,2021-07-30 14:00:00,2021
215.26,2012-04-26 16:00:00,2012
213.6,2018-05-31 15:00:00,2018
213.25,2019-08-29 15:00:00,2019
213.22,2021-04-18 18:00:00,2021
212.65,2016-10-18 14:00:00,2016
211.94,2016-08-05 14:00:00,2016
211.68,2019-08-27 14:00:00,2019
211.35,2019-08-06 12:00:00,2019
210.98,2019-08-18 14:00:00,2019
210.68,2012-06-28 15:00:00,2012
210.66,2012-08-13 15:00:00,2012
210.59,2013-06-27 15:00:00,2013
210.15,2016-08-08 14:00:00,2016
209.16,2019-09-24 13:00:00,2019
208.86,2014-08-25 15:00:00,2014
207.29,2021-02-20 04:00:00,2021
206.76,2012-04-25 15:00:00,2012
206.55,2014-01-24 06:00:00,2014
206.47,2017-07-28 15:00:00,2017
206.22,2019-08-02 13:00:00,2019
206.17,2020-03-24 15:00:00,2020
206.05,2020-03-24 18:00:00,2020
205.68,2018-05-16 13:00:00,2018
205.66,2015-07-30 15:00:00,2015
205.64,2018-07-24 16:00:00,2018
205.5,2021-02-12 06:00:00,2021
204.64,2012-09-07 14:00:00,2012
204.55,2013-08-01 15:00:00,2013
204.52,2012-07-30 16:00:00,2012
203.95,2021-07-29 14:00:00,2021
203.7,2019-11-12 06:00:00,2019
202.52,2014-08-25 14:00:00,2014
202.4,2016-09-19 15:00:00,2016
