NG,Time_Index,coal,Date,None,uranium
2.808,282,3.878689705,2012-01-12 17:00:00,0.0,0.705536
2.808,283,3.878689705,2012-01-12 18:00:00,0.0,0.705536
2.808,284,3.878689705,2012-01-12 19:00:00,0.0,0.705536
2.808,285,3.878689705,2012-01-12 20:00:00,0.0,0.705536
2.808,286,3.878689705,2012-01-12 21:00:00,0.0,0.705536
2.808,287,3.878689705,2012-01-12 22:00:00,0.0,0.705536
2.808,288,3.878689705,2012-01-12 23:00:00,0.0,0.705536
2.715,289,3.813894888,2012-01-13 00:00:00,0.0,0.705536
2.715,290,3.813894888,2012-01-13 01:00:00,0.0,0.705536
2.715,291,3.813894888,2012-01-13 02:00:00,0.0,0.705536
2.715,292,3.813894888,2012-01-13 03:00:00,0.0,0.705536
2.715,293,3.813894888,2012-01-13 04:00:00,0.0,0.705536
2.715,294,3.813894888,2012-01-13 05:00:00,0.0,0.705536
2.715,295,3.813894888,2012-01-13 06:00:00,0.0,0.705536
2.715,296,3.813894888,2012-01-13 07:00:00,0.0,0.705536
2.715,297,3.813894888,2012-01-13 08:00:00,0.0,0.705536
2.715,298,3.813894888,2012-01-13 09:00:00,0.0,0.705536
2.715,299,3.813894888,2012-01-13 10:00:00,0.0,0.705536
2.715,300,3.813894888,2012-01-13 11:00:00,0.0,0.705536
2.715,301,3.813894888,2012-01-13 12:00:00,0.0,0.705536
2.715,302,3.813894888,2012-01-13 13:00:00,0.0,0.705536
2.715,303,3.813894888,2012-01-13 14:00:00,0.0,0.705536
2.715,304,3.813894888,2012-01-13 15:00:00,0.0,0.705536
2.715,305,3.813894888,2012-01-13 16:00:00,0.0,0.705536
2.715,306,3.813894888,2012-01-13 17:00:00,0.0,0.705536
2.715,307,3.813894888,2012-01-13 18:00:00,0.0,0.705536
2.715,308,3.813894888,2012-01-13 19:00:00,0.0,0.705536
2.715,309,3.813894888,2012-01-13 20:00:00,0.0,0.705536
2.715,310,3.813894888,2012-01-13 21:00:00,0.0,0.705536
2.715,311,3.813894888,2012-01-13 22:00:00,0.0,0.705536
2.715,312,3.813894888,2012-01-13 23:00:00,0.0,0.705536
2.715,313,3.813894888,2012-01-14 00:00:00,0.0,0.705536
2.715,314,3.813894888,2012-01-14 01:00:00,0.0,0.705536
2.715,315,3.813894888,2012-01-14 02:00:00,0.0,0.705536
2.715,316,3.813894888,2012-01-14 03:00:00,0.0,0.705536
2.715,317,3.813894888,2012-01-14 04:00:00,0.0,0.705536
2.715,318,3.813894888,2012-01-14 05:00:00,0.0,0.705536
2.715,319,3.813894888,2012-01-14 06:00:00,0.0,0.705536
2.715,320,3.813894888,2012-01-14 07:00:00,0.0,0.705536
2.715,321,3.813894888,2012-01-14 08:00:00,0.0,0.705536
2.715,322,3.813894888,2012-01-14 09:00:00,0.0,0.705536
2.715,323,3.813894888,2012-01-14 10:00:00,0.0,0.705536
2.715,324,3.813894888,2012-01-14 11:00:00,0.0,0.705536
2.715,325,3.813894888,2012-01-14 12:00:00,0.0,0.705536
