,Time_Index,NG,None,coal,uranium
558,558,3.3178,0,2.3566238,0.705536
559,559,3.3178,0,2.3566238,0.705536
560,560,3.3178,0,2.3566238,0.705536
561,561,3.3178,0,2.3566238,0.705536
562,562,3.3178,0,2.3566238,0.705536
563,563,3.3178,0,2.3566238,0.705536
564,564,3.3178,0,2.3566238,0.705536
565,565,3.3178,0,2.3566238,0.705536
566,566,3.3178,0,2.3566238,0.705536
567,567,3.3178,0,2.3566238,0.705536
568,568,3.3178,0,2.3566238,0.705536
569,569,3.3178,0,2.3566238,0.705536
570,570,3.3178,0,2.3566238,0.705536
571,571,3.3178,0,2.3566238,0.705536
572,572,3.3178,0,2.3566238,0.705536
573,573,3.3178,0,2.3566238,0.705536
574,574,3.3178,0,2.3566238,0.705536
575,575,3.3178,0,2.3566238,0.705536
576,576,3.3178,0,2.3566238,0.705536
577,577,3.339,0,2.3566238,0.705536
578,578,3.339,0,2.3566238,0.705536
579,579,3.339,0,2.3566238,0.705536
580,580,3.339,0,2.3566238,0.705536
581,581,3.339,0,2.3566238,0.705536
582,582,3.339,0,2.3566238,0.705536
583,583,3.339,0,2.3566238,0.705536
584,584,3.339,0,2.3566238,0.705536
585,585,3.339,0,2.3566238,0.705536
586,586,3.339,0,2.3566238,0.705536
587,587,3.339,0,2.3566238,0.705536
588,588,3.339,0,2.3566238,0.705536
589,589,3.339,0,2.3566238,0.705536
590,590,3.339,0,2.3566238,0.705536
591,591,3.339,0,2.3566238,0.705536
592,592,3.339,0,2.3566238,0.705536
593,593,3.339,0,2.3566238,0.705536
594,594,3.339,0,2.3566238,0.705536
595,595,3.339,0,2.3566238,0.705536
596,596,3.339,0,2.3566238,0.705536
597,597,3.339,0,2.3566238,0.705536
598,598,3.339,0,2.3566238,0.705536
599,599,3.339,0,2.3566238,0.705536
600,600,3.339,0,2.3566238,0.705536
601,601,3.339,0,2.3566238,0.705536
602,602,3.339,0,2.3566238,0.705536
603,603,3.339,0,2.3566238,0.705536
604,604,3.339,0,2.3566238,0.705536
605,605,3.339,0,2.3566238,0.705536
606,606,3.339,0,2.3566238,0.705536
607,607,3.339,0,2.3566238,0.705536
608,608,3.339,0,2.3566238,0.705536
609,609,3.339,0,2.3566238,0.705536
610,610,3.339,0,2.3566238,0.705536
611,611,3.339,0,2.3566238,0.705536
612,612,3.339,0,2.3566238,0.705536
613,613,3.339,0,2.3566238,0.705536
614,614,3.339,0,2.3566238,0.705536
615,615,3.339,0,2.3566238,0.705536
616,616,3.339,0,2.3566238,0.705536
617,617,3.339,0,2.3566238,0.705536
618,618,3.339,0,2.3566238,0.705536
619,619,3.339,0,2.3566238,0.705536
620,620,3.339,0,2.3566238,0.705536
621,621,3.339,0,2.3566238,0.705536
622,622,3.339,0,2.3566238,0.705536
623,623,3.339,0,2.3566238,0.705536
624,624,3.339,0,2.3566238,0.705536
625,625,3.339,0,2.3566238,0.705536
626,626,3.339,0,2.3566238,0.705536
627,627,3.339,0,2.3566238,0.705536
628,628,3.339,0,2.3566238,0.705536
629,629,3.339,0,2.3566238,0.705536
630,630,3.339,0,2.3566238,0.705536
631,631,3.339,0,2.3566238,0.705536
632,632,3.339,0,2.3566238,0.705536
633,633,3.339,0,2.3566238,0.705536
634,634,3.339,0,2.3566238,0.705536
635,635,3.339,0,2.3566238,0.705536
